,"Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","United Kingdom"
"1958-01-01 00:00:00",8.15492392376994,17.5471169361585,5.04669326249846,,,,0.680996931887974,,1.71199025549687,52.224198233064,163.592627213841,0.270546078319617,8.56418737979159,0.853263585702002,16.2767982262806,,,0.000982680260410269,,10.3645239888889,56.1163939263399,1.06764052327724,22.9441912216272,,,13.1390253513491,7.43741800684191,129.96204291002
"1959-01-01 00:00:00",8.07502851497154,14.744224843242,6.01526975187323,,,,0.745625251627564,,1.36394711337674,54.4612339901285,169.647222146294,0.33081498916595,9.07442974625421,1.40615479091021,18.0189139251566,,,0.000737010195307702,,10.5599529222222,58.7914059870477,1.12814906645375,24.2546474571783,,,12.9960827925466,7.41712308016214,124.399580513943
"1960-01-01 00:00:00",8.51309940730527,14.5550024811325,6.86428374278344,,,,0.655038251627564,,1.28782506326004,54.6701420195146,173.98896870487,0.465216460533104,9.61991583611964,1.04500346856652,20.4330063385948,,,0.00515907136715391,,11.1026743333333,61.9680030729026,1.12313390246898,25.3456591936235,,,13.2690773304958,7.94131154247636,117.274332840851
"1961-01-01 00:00:00",8.34281019009199,13.965202738906,7.00002343692421,,,,0.595864421692667,,1.9953709323179,53.1751172992547,177.560770677131,0.479650016066822,10.3447477453384,1.19084850067559,19.9780809790177,,,0.014740203906154,,11.4167250777778,63.538457325854,1.22498296278099,26.5097893836711,,,16.9945556326264,9.2611971686525,115.797503248846
"1962-01-01 00:00:00",8.91049861283217,13.7469789205198,7.74701076034885,,,,0.591335421692667,,2.41909653605208,53.4941624506333,180.173645558946,0.520595419972976,10.7112770231162,1.24571330804569,19.4398996755845,,,0.0120378331900258,,10.8172211888889,65.4975823526116,1.19959759857511,29.1548680824469,,,13.2341517897269,9.82604370948101,120.234449438478
"1963-01-01 00:00:00",9.26316483385675,13.8859234998277,8.24231775580396,,,,0.577537751627564,,2.0807611251689,52.2261581124362,184.530887548853,0.681777272472669,11.6655115252733,1.16365257290259,21.1494577150209,,,0.120869672030463,,10.8908955888889,68.5143356658409,1.32407160054047,31.1148625582934,,,14.6659408284254,9.52077680842611,120.097030842613
"1964-01-01 00:00:00",9.53780353798673,13.8051075120862,9.26053066576588,,,,0.504139251627564,,2.071005662695,54.2827162803195,187.143713488067,0.713461678761823,12.2328604459287,1.23143083277239,21.3669107604186,,,0.197764402407567,,11.1473350555556,72.2035147450422,1.38263200466773,32.7440342581501,,,14.1467921863298,10.7692739945044,119.395062250038
"1965-01-01 00:00:00",10.3002620681557,12.8782423243746,9.74637346353847,,,,0.485386251627564,,2.31899778896941,56.3103976058435,181.592713273121,0.883439579412849,12.5454987159938,1.06607166097531,21.9743791657521,,,0.224788109568849,,12.0111844333333,73.7415378805497,1.30960386930353,35.0743458376503,,,14.4753647050076,11.5282282685029,117.797077906481
"1966-01-01 00:00:00",10.570919492737,11.4025547624233,10.0428301641895,,,,0.456368421692667,,2.57130094582975,57.0150665667993,175.87203101054,1.1026880915858,12.5726595620658,1.21544346119641,22.8788263384075,,,0.23829996314949,,12.4762483222222,75.9809493793692,1.61562103549932,37.06229160627,,,16.2740312025345,11.2697573566869,111.396720684388
"1967-01-01 00:00:00",10.2855583455186,10.7362445365304,11.1784115383041,,,,0.308982751627564,,2.87789718707775,54.2320183678736,166.557048260937,1.13422591696352,10.5904475675606,1.27962769546739,22.8919646181932,,,0.224296769438644,,13.9223962555556,77.1416362669342,1.66744401793391,40.1041674827581,,,14.9409221876373,12.1595754406577,111.50166585967
